,Series_Type,Series_Name
0,AKALEU0URN,"Unemployment Rate in Aleutians West Census Area, AK"
1,AKALEU3URN,"Unemployment Rate in Aleutians East Borough, AK"
2,AKANCH0URN,"Unemployment Rate in Anchorage Borough/municipality, AK"
3,AKBETH0URN,"Unemployment Rate in Bethel Census Area, AK"
4,AKBRIS0URN,"Unemployment Rate in Bristol Bay Borough, AK"
5,AKDENA8URN,"Unemployment Rate in Denali Borough, AK"
6,AKDILL0URN,"Unemployment Rate in Dillingham Census Area, AK"
7,AKFAIR0URN,"Unemployment Rate in Fairbanks North Star Borough, AK"
8,AKHAIN0URN,"Unemployment Rate in Haines Borough, AK"
9,AKJUNE0URN,"Unemployment Rate in Juneau Borough/City, AK"
10,AKKENA2URN,"Unemployment Rate in Kenai Peninsula Borough, AK"
11,AKKETC0URN,"Unemployment Rate in Ketchikan Gateway Borough, AK"
12,AKKODI0URN,"Unemployment Rate in Kodiak Island Borough, AK"
13,AKLAKE4URN,"Unemployment Rate in Lake and Peninsula Borough, AK"
14,AKMATA0URN,"Unemployment Rate in Matanuska-Susitna Borough, AK"
15,AKNOME0URN,"Unemployment Rate in Nome Census Area, AK"
16,AKNORT5URN,"Unemployment Rate in North Slope Borough, AK"
17,AKNORT8URN,"Unemployment Rate in Northwest Arctic Borough, AK"
18,AKPRIN1URN,"Unemployment Rate in Prince of Wales-Outer Ketchikan Census Area, AK"
19,AKSITK0URN,"Unemployment Rate in Sitka Borough/City, AK"
20,AKSKAG1URN,"Unemployment Rate in Skagway-Hoonah-Angoon Census Area, AK"
21,AKSOUT0URN,"Unemployment Rate in Southeast Fairbanks Census Area, AK"
22,AKVALD1URN,"Unemployment Rate in Valdez-Cordova Census Area, AK"
23,AKWRAN0URN,"Unemployment Rate in Wrangell-Petersburg Census Area, AK"
24,AKYAKA2URN,"Unemployment Rate in Yakutat City and Borough, AK"
25,AKYUKO0URN,"Unemployment Rate in Yukon-Koyukuk Census Area, AK"
26,ALAUTA1URN,"Unemployment Rate in Autauga County, AL"
27,ALBALD0URN,"Unemployment Rate in Baldwin County, AL"
28,ALBARB5URN,"Unemployment Rate in Barbour County, AL"
29,ALBIBB7URN,"Unemployment Rate in Bibb County, AL"
30,ALBLOU9URN,"Unemployment Rate in Blount County, AL"
31,ALBULL1URN,"Unemployment Rate in Bullock County, AL"
32,ALBUTL3URN,"Unemployment Rate in Butler County, AL"
33,ALCALH5URN,"Unemployment Rate in Calhoun County, AL"
34,ALCHAM7URN,"Unemployment Rate in Chambers County, AL"
35,ALCHER9URN,"Unemployment Rate in Cherokee County, AL"
36,ALCHIL1URN,"Unemployment Rate in Chilton County, AL"
37,ALCHOC3URN,"Unemployment Rate in Choctaw County, AL"
38,ALCLAR5URN,"Unemployment Rate in Clarke County, AL"
39,ALCLAY7URN,"Unemployment Rate in Clay County, AL"
40,ALCLEB9URN,"Unemployment Rate in Cleburne County, AL"
41,ALCOFF1URN,"Unemployment Rate in Coffee County, AL"
42,ALCOLB0URN,"Unemployment Rate in Colbert County, AL"
43,ALCONE5URN,"Unemployment Rate in Conecuh County, AL"
44,ALCOOS7URN,"Unemployment Rate in Coosa County, AL"
45,ALCOVI9URN,"Unemployment Rate in Covington County, AL"
46,ALCREN1URN,"Unemployment Rate in Crenshaw County, AL"
47,ALCULL0URN,"Unemployment Rate in Cullman County, AL"
48,ALDALE5URN,"Unemployment Rate in Dale County, AL"
49,ALDALL0URN,"Unemployment Rate in Dallas County, AL"
50,ALDEKA7URN,"Unemployment Rate in DeKalb County, AL"
51,ALELMO1URN,"Unemployment Rate in Elmore County, AL"
52,ALESCA3URN,"Unemployment Rate in Escambia County, AL"
53,ALETOW1URN,"Unemployment Rate in Etowah County, AL"
54,ALFAYE7URN,"Unemployment Rate in Fayette County, AL"
55,ALFRAN9URN,"Unemployment Rate in Franklin County, AL"
56,ALGENE1URN,"Unemployment Rate in Geneva County, AL"
57,ALGREE3URN,"Unemployment Rate in Greene County, AL"
58,ALHALE5URN,"Unemployment Rate in Hale County, AL"
59,ALHENR7URN,"Unemployment Rate in Henry County, AL"
60,ALHOUS5URN,"Unemployment Rate in Houston County, AL"
61,ALJACK7URN,"Unemployment Rate in Jackson County, AL"
62,ALJEFF5URN,"Unemployment Rate in Jefferson County, AL"
63,ALLAMA5URN,"Unemployment Rate in Lamar County, AL"
64,ALLAUD0URN,"Unemployment Rate in Lauderdale County, AL"
65,ALLAWR9URN,"Unemployment Rate in Lawrence County, AL"
66,ALLEEC5URN,"Unemployment Rate in Lee County, AL"
67,ALLIME3URN,"Unemployment Rate in Limestone County, AL"
68,ALLOWN5URN,"Unemployment Rate in Lowndes County, AL"
69,ALMACO7URN,"Unemployment Rate in Macon County, AL"
70,ALMADI9URN,"Unemployment Rate in Madison County, AL"
